type,name,address,lastLeftCountry,passportNo,nationality,tokenSerial,tokenCollectionLocation,tokenExpiryDate,travelEntryLastCountry,travelEntryMode,travelEntryDate,travelShnEndDate,travelIsPaid,facilityName
resident,Tom,123 East Road,20/12/2020,,,T12345,Canberra CC,15-Jan-21,Vietnam,Land,12/01/2021 08:00,12/01/2021 08:00,true,
resident,Sally,234 Changi Link,16/03/2020,,,,,,Vietnam,Land,12/01/2021 08:00,12/01/2021 08:00,false,
visitor,Terry,,,A1234567E,Malaysian,,,,,,,,,
resident,Tricia,522 Long Street,02/07/2020,,,,,,,,,,,
visitor,Simon,,,A2345678F,Australian,,,,,,,,,
visitor,Alice,,,A3456789G,Chinese,,,,Australia,Air,13/01/2021 08:00,27/01/2021 08:00,false,Yozel
resident,Dion,842 Bukit Hill,21/10/2020,,,T23456,Bukit CC,28-May-21,,,,,,
visitor,Timothy,,,A11115555H,American,,,,,,,,,
resident,William,321 South Road,20/12/2020,,,,,,,,,,,
resident,James,432 Orchard Link,16/09/2020,,,,,,Germany,Air,05/02/2021 08:00,19/02/2021 08:00,false,Mandarin Orchid
visitor,Harper,,,A1234567E,Malaysian,,,,,,,,,
resident,Mason,582 High Street,02/07/2020,,,,,,,,,,,
visitor,Evelyn,,,A2345678F,Australian,,,,Canada,Air,01/01/2021 08:00,15/01/2021 08:00,false,Small Hostel
visitor,Ella,,,A3456789G,Chinese,,,,,,,,,
resident,Jackson,572 Hillview Hill,21/10/2020,,,,,,Indonesia,Sea,01/01/2021 08:00,15/01/2021 08:00,false,Yozel
visitor,Avery,,,A11115555H,American,,,,,,,,,
